"data";"valor"
"01/01/2003";"70,24742"
"01/02/2003";"71,47159"
"01/03/2003";"71,06891"
"01/04/2003";"70,59115"
"01/05/2003";"69,90703"
"01/06/2003";"70,03368"
"01/07/2003";"69,16162"
"01/08/2003";"69,69263"
"01/09/2003";"71,24810"
"01/10/2003";"71,13892"
"01/11/2003";"71,33169"
"01/12/2003";"71,12722"
"01/01/2004";"72,47074"
"01/02/2004";"73,24787"
"01/03/2004";"74,03492"
"01/04/2004";"74,42246"
"01/05/2004";"74,36066"
"01/06/2004";"74,96693"
"01/07/2004";"75,25467"
"01/08/2004";"75,60413"
"01/09/2004";"76,38235"
"01/10/2004";"75,85449"
"01/11/2004";"76,68777"
"01/12/2004";"76,08132"
"01/01/2005";"76,60007"
"01/02/2005";"77,07340"
"01/03/2005";"77,17437"
"01/04/2005";"77,70847"
"01/05/2005";"77,65304"
"01/06/2005";"77,16743"
"01/07/2005";"77,15289"
"01/08/2005";"77,74385"
"01/09/2005";"77,54429"
"01/10/2005";"77,58260"
"01/11/2005";"78,20851"
"01/12/2005";"78,80530"
"01/01/2006";"79,44600"
"01/02/2006";"79,49543"
"01/03/2006";"79,38053"
"01/04/2006";"79,89695"
"01/05/2006";"80,90251"
"01/06/2006";"79,95885"
"01/07/2006";"81,46818"
"01/08/2006";"81,46599"
"01/09/2006";"81,65724"
"01/10/2006";"82,52621"
"01/11/2006";"83,12819"
"01/12/2006";"84,16010"
"01/01/2007";"83,89982"
"01/02/2007";"84,10100"
"01/03/2007";"83,58477"
"01/04/2007";"84,70994"
"01/05/2007";"85,44972"
"01/06/2007";"85,95948"
"01/07/2007";"86,57888"
"01/08/2007";"86,73745"
"01/09/2007";"87,43332"
"01/10/2007";"88,26593"
"01/11/2007";"88,23364"
"01/12/2007";"89,02556"
"01/01/2008";"89,15915"
"01/02/2008";"88,97855"
"01/03/2008";"88,35071"
"01/04/2008";"89,57857"
"01/05/2008";"90,42053"
"01/06/2008";"91,23822"
"01/07/2008";"91,25773"
"01/08/2008";"91,44422"
"01/09/2008";"91,41609"
"01/10/2008";"89,59026"
"01/11/2008";"87,38913"
"01/12/2008";"85,00397"
"01/01/2009";"84,83626"
"01/02/2009";"85,49702"
"01/03/2009";"86,02853"
"01/04/2009";"86,40675"
"01/05/2009";"87,20872"
"01/06/2009";"87,73200"
"01/07/2009";"87,94589"
"01/08/2009";"89,37749"
"01/09/2009";"90,10337"
"01/10/2009";"90,81870"
"01/11/2009";"90,91981"
"01/12/2009";"92,28805"
"01/01/2010";"93,64346"
"01/02/2010";"94,52667"
"01/03/2010";"95,52255"
"01/04/2010";"96,00544"
"01/05/2010";"95,22042"
"01/06/2010";"94,97660"
"01/07/2010";"95,56095"
"01/08/2010";"96,16112"
"01/09/2010";"97,02037"
"01/10/2010";"96,86365"
"01/11/2010";"97,95758"
"01/12/2010";"96,93042"
"01/01/2011";"98,13461"
"01/02/2011";"98,53548"
"01/03/2011";"98,53925"
"01/04/2011";"98,62504"
"01/05/2011";"98,77340"
"01/06/2011";"99,11875"
"01/07/2011";"99,26526"
"01/08/2011";"99,18871"
"01/09/2011";"99,05979"
"01/10/2011";"99,00667"
"01/11/2011";"99,47347"
"01/12/2011";"98,53107"
"01/01/2012";"97,31570"
"01/02/2012";"98,26728"
"01/03/2012";"98,02441"
"01/04/2012";"98,47806"
"01/05/2012";"99,61687"
"01/06/2012";"100,32613"
"01/07/2012";"100,50571"
"01/08/2012";"100,82738"
"01/09/2012";"100,42643"
"01/10/2012";"101,28471"
"01/11/2012";"101,10634"
"01/12/2012";"100,68045"
"01/01/2013";"101,32307"
"01/02/2013";"100,35885"
"01/03/2013";"101,36514"
"01/04/2013";"102,47381"
"01/05/2013";"102,63785"
"01/06/2013";"102,29145"
"01/07/2013";"102,66027"
"01/08/2013";"102,96081"
"01/09/2013";"103,46529"
"01/10/2013";"103,47967"
"01/11/2013";"103,70007"
"01/12/2013";"103,98012"
"01/01/2014";"103,65820"
"01/02/2014";"103,36864"
"01/03/2014";"103,25022"
"01/04/2014";"102,80803"
"01/05/2014";"102,43602"
"01/06/2014";"100,25356"
"01/07/2014";"101,04070"
"01/08/2014";"101,90197"
"01/09/2014";"102,45349"
"01/10/2014";"101,67109"
"01/11/2014";"101,76346"
"01/12/2014";"102,12533"
